'about', 'О нас'
'hostings', 'Хостинги'
'auth', 'Авторизация'
'account', 'Личный кабинет'
'reservation-make', 'Сделать заявку'
'locale-ru', 'Русский'
'locale-en', 'Английский'

'back-to-main', 'Вернуться на главную'
'page-not-found', 'Страница не найдена'
'404-msg', 'Похоже, такой страницы не существует...'

'placeholder', 'Заглушка'
'lorem', 'Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorum, hic reiciendis illum quod perferendis veritatis cumque, esse eaque adipisci, numquam et fugit ullam? In quos optio ex ut, facere eum?'
